index,Medio_Desordenados,Poco_Desordenados,Muy_Desordenados
19761,41518,54989,50686
19762,11601,69584,60710
19763,17521,16657,6219
19764,49037,77243,1004
19765,56580,16660,9100
19766,3082,16660,32820
19767,527,16662,4515
19768,10435,62605,51420
19769,26940,16663,200035
19770,38416,50700,47818
19771,70868,16672,33709
19772,9311,16672,60846
19773,48114,35311,58796
19774,57005,68856,34738
19775,12288,16674,45924
19776,60349,3372,78151
19777,49663,69221,200139
19778,75998,16675,60322
19779,204012,29810,58277
19780,204062,16676,40672
19781,32503,49168,137801
19782,203087,6836,32154
19783,199867,198842,55569
19784,8122,199687,35221
19785,49671,16679,201592
19786,78400,6764,5706
19787,20898,16680,46961
19788,45963,60242,66738
19789,46887,44176,36545
19790,61837,16682,36829
19791,62090,16683,39070
19792,70761,567,36771
19793,18842,1096,61819
19794,199528,16684,56320
19795,36139,50970,204395
19796,65860,16693,59383
19797,57475,16696,10286
19798,204671,52128,57242
19799,17599,3384,35067
19800,47764,10340,10913
19801,51066,1177,6515
19802,60789,44960,50784
19803,59788,71216,50712
19804,8594,33104,81191
19805,51822,16709,44250
19806,60066,16709,47862
19807,10586,16720,21375
19808,49332,68152,57045
19809,62237,10375,61900
19810,199698,20605,43832
19811,2830,16723,201721
19812,47769,16723,50776
19813,62570,68638,17812
19814,27655,60451,202447
19815,199886,16733,67879
19816,20369,61053,41553
19817,38614,12056,44468
19818,23724,49920,32821
19819,19060,6957,9840
19820,40947,16741,201551
19821,43739,8669,40066
19822,51950,32966,201514
19823,74516,16743,41159
19824,22424,3454,23633
19825,632,16746,48632
19826,12325,56744,62387
19827,24237,48019,69583
19828,204541,16751,41423
19829,57847,42306,40554
19830,8787,47974,2698
19831,27984,35496,38477
19832,19795,16753,60877
19833,59350,16754,72971
19834,60962,36870,47784
19835,43489,201107,204286
19836,68204,16755,44258
19837,10837,16756,35951
19838,62573,46804,201827
19839,200174,16757,50780
19840,58202,16757,59980
19841,54275,59700,200338
19842,47931,60963,9712
19843,26408,10855,57618
19844,60166,16761,19851
19845,40047,201428,48795
19846,32300,9952,46893
19847,11394,34062,60226
19848,18359,16769,2856
19849,58526,59972,59027
19850,48204,203400,51068
19851,56458,23822,60533
19852,198941,16773,42202
19853,6649,16774,8867
19854,46950,203743,47058
19855,48122,16775,39871
19856,203948,45423,58274
19857,32089,201808,25036
19858,48197,35806,5431
19859,42236,32237,8530
19860,57635,16782,60199
19861,34609,16784,68701
19862,4441,10242,12192
19863,203968,45317,61838
19864,47657,9936,65427
19865,30352,40345,45113
19866,47578,56895,7205
19867,67471,203217,32779
19868,66065,16788,59833
19869,57188,203650,61919
19870,30443,24453,50851
19871,9293,451,67087
19872,25713,48458,77531
19873,34370,39811,33539
19874,36612,58501,16654
19875,69308,16794,203082
19876,7241,199350,76089
19877,7082,205182,70344
19878,18128,16795,8081
19879,200507,16799,19260
19880,72818,9813,62523
19881,5075,16801,32237
19882,45478,58981,83074
19883,54790,56512,56942
19884,55454,81268,78228
19885,62215,16804,3516
19886,56187,16804,40034
19887,1238,39111,50787
19888,80075,69262,198995
19889,33971,16807,39614
19890,32329,16807,48321
19891,32782,16808,61359
19892,8672,51199,46913
19893,57922,47313,47081
19894,1111,58255,43883
19895,59394,203745,42203
19896,9899,41719,61487
19897,202911,16816,35492
19898,8267,16816,54781
19899,75852,16821,33015
19900,200319,9356,36891
19901,46674,44684,26741
19902,67678,62859,9442
19903,205008,1245,68164
19904,204673,16823,74606
19905,7096,16824,56722
19906,35465,11121,23953
19907,68995,50292,67163
19908,45017,75602,55307
19909,23871,32850,46587
19910,31976,16829,27101
19911,48019,33014,59610
19912,62776,16831,137793
19913,51142,16833,7147
19914,59930,35799,23267
19915,81246,16838,11214
19916,9121,16838,38835
19917,32563,18954,51698
19918,49989,36412,179
19919,51916,16848,511
19920,57023,11834,23282
19921,55261,16849,61169
19922,61064,5195,35709
19923,79119,60095,54997
19924,205101,3687,68655
19925,44750,16852,2994
19926,60634,16852,34021
19927,54640,6411,40689
19928,40497,39539,39605
19929,34232,35391,38993
19930,32103,16862,48839
19931,49126,16864,200486
19932,46382,199515,201247
19933,59708,45285,32259
19934,44664,16868,202456
19935,51399,200230,39173
19936,10154,48463,46700
19937,57595,16879,6440
19938,63075,16879,199873
19939,21202,16885,62789
19940,18719,16885,11008
19941,57408,16892,3693
19942,40037,36016,2974
19943,33031,16893,45904
19944,62541,9844,202897
19945,9986,51390,56502
19946,57193,16895,198751
19947,47277,58169,30795
19948,68723,16896,78251
19949,38797,2014,5242
19950,200787,16897,804
19951,48740,651,10941
19952,41329,16902,36802
19953,61600,68147,62646
19954,44170,16903,58806
19955,56521,62293,1372
19956,40136,203291,199488
19957,41872,50989,1922
19958,9982,16916,69632
19959,39015,50029,30163
19960,204158,33412,21234
19961,35253,16921,10036
19962,202210,59669,50667
19963,41259,70344,39121
19964,59932,16932,56793
19965,18619,16933,63167
19966,8423,16933,54394
19967,522,39538,11967
19968,32839,16934,66247
19969,41998,43594,79507
19970,50735,16952,54338
19971,275,200877,24118
19972,35800,16953,56321
19973,38518,16954,35077
19974,203025,16954,11231
19975,59501,200508,23454
19976,60677,70350,71136
19977,199625,61450,23450
19978,47940,70950,202712
19979,34726,9560,56967
19980,7594,38418,47774
19981,4151,16966,44966
19982,63150,4559,70590
19983,19561,56087,202962
19984,35778,16970,28604
19985,9693,7472,54164
19986,201516,51093,50397
19987,51511,43887,202931
19988,49514,38989,43333
19989,54952,36838,8340
19990,56141,52152,33124
19991,34288,16978,43447
19992,45972,50260,40640
19993,30158,1940,29049
19994,17816,74827,35661
19995,56208,16987,63326
19996,203456,35202,46306
19997,3695,69225,67332
19998,51414,51264,2100
19999,18133,61753,32537
20000,765,16991,48538
20001,43919,17002,36158
20002,26458,59987,49025
20003,34330,59473,1865
20004,199177,17018,81190
20005,62047,35150,69247
20006,33263,9168,46898
20007,51238,8086,5431
20008,9805,43441,59732
20009,33267,198701,54214
20010,27308,1183,32539
20011,54307,17076,63260
20012,50078,17051,57215
20013,56493,67355,5442
20014,33009,17052,66399
20015,9000,40095,2145
20016,6251,6213,48631
20017,5355,17058,47919
20018,48624,46210,48244
20019,200398,5708,34032
20020,10915,17060,38120
20021,199035,17061,200976
20022,8747,46418,49123
20023,21145,17062,82467
20024,203164,7344,62557
20025,47710,61153,6646
20026,55771,17065,80326
20027,50668,8457,25226
20028,58693,17066,6136
20029,61335,39496,74505
20030,65946,17067,46719
20031,202240,82798,49599
20032,66901,17068,65572
20033,69679,17069,204020
20034,34506,43484,59671
20035,51567,17070,25897
20036,51780,17070,27432
20037,35047,47943,66427
20038,203973,55332,56895
20039,46601,67589,46260
20040,10818,38975,6412
20041,41252,35924,51859
20042,54633,201784,70216
20043,5321,10771,67716
20044,63196,7537,40388
20045,66572,67399,79616
20046,67525,17087,43692
20047,50197,50646,3874
20048,56488,54399,3791
20049,8061,17090,9759
20050,51422,77319,72848
20051,2135,45845,47020
20052,44335,17091,10549
20053,3229,203034,41599
20054,203175,43883,40558
20055,202062,4883,267
20056,23990,17093,200251
20057,8465,17099,18838
20058,199666,824,2894
20059,26335,67214,67282
20060,201384,17108,51199
20061,8804,17109,41406
20062,57010,17109,56968
20063,35718,60091,203307
20064,45984,17110,204553
20065,56691,57548,39832
20066,67727,17111,60571
20067,69275,200501,33961
20068,2689,17112,76500
20069,33225,199873,61117
20070,27100,47413,62174
20071,18672,5723,46370
20072,1176,68071,68940
20073,200542,52131,51206
20074,30666,17118,10477
20075,199180,40892,49104
20076,34195,76528,7271
20077,47557,17155,67972
20078,38135,74689,543
20079,48347,54391,38975
20080,54120,69019,39284
20081,10702,2740,2683
20082,44164,45864,65947
20083,3937,199930,8530
20084,6175,533,35888
20085,38953,17176,21838
20086,5091,203023,203304
20087,47027,39113,25924
20088,47130,17180,47789
20089,4261,203436,46800
20090,43985,570,47037
20091,47659,69409,56695
20092,35750,17205,2211
20093,36255,61420,205022
20094,6712,17206,36960
20095,45480,4520,70172
20096,39408,8514,38041
20097,12415,59256,21267
20098,41370,50389,202292
20099,61683,62814,44489
20100,201184,31968,55993
20101,35964,1885,68928
20102,2874,40131,69678
20103,33025,39979,78693
20104,56486,204177,36625
20105,203062,17220,54156
20106,40407,1700,199795
20107,62981,65306,48341
20108,4961,915,51894
20109,8681,10744,43314
20110,50061,17229,67194
20111,34676,41346,3948
20112,201146,58774,199279
20113,32509,35101,35959
20114,2030,55275,49436
20115,54823,69231,45374
20116,707,6907,16677
20117,30356,17254,204062
20118,38854,199616,47152
20119,27853,17256,62344
20120,57618,17256,33886
20121,77072,65999,204427
20122,23244,78258,546
20123,33915,54425,32864
20124,6494,51866,35881
20125,33540,201810,75074
20126,35149,17261,79106
20127,35508,17264,44808
20128,59835,40003,204761
20129,10287,202523,55427
20130,23505,202028,55803
20131,1330,11044,55318
20132,61135,17267,76604
20133,3572,17268,41024
20134,11170,17268,59856
20135,41424,39093,51436
20136,70071,33381,40411
20137,39584,17276,66646
20138,16808,47617,41364
20139,25256,17279,66969
20140,40077,49242,2641
20141,48288,4638,35067
20142,59684,17281,7127
20143,47168,17285,51927
20144,62346,29851,55304
20145,25251,17289,57039
20146,34396,632,4388
20147,47135,73660,68076
20148,45567,17296,46333
20149,47493,2586,45351
20150,32350,204585,50160
20151,2044,41218,56915
20152,21402,17298,11355
20153,5133,55655,65437
20154,62369,17299,16625
20155,62792,48253,78235
20156,63201,77168,39696
20157,82856,200901,66361
20158,8645,204986,38130
20159,201614,17305,199341
20160,41984,56138,34545
20161,54414,202110,42229
20162,57099,916,63232
20163,38680,17310,33481
20164,199382,11890,34899
20165,36345,49221,946
20166,51311,17311,204735
20167,4488,17312,204244
20168,62525,3095,35649
20169,200375,62675,18232
20170,7213,56534,59614
20171,60533,17322,203223
20172,51319,17322,46431
20173,39629,69421,74531
20174,6903,17323,200317
20175,58458,79724,40647
20176,18672,17324,65918
20177,20757,200569,39286
20178,42165,33799,9077
20179,8182,17332,201136
20180,50260,21463,69992
20181,43413,58752,9849
20182,50328,202211,60812
20183,6856,45535,43351
20184,51374,17334,11040
20185,47650,199914,203327
20186,8403,54317,51640
20187,4652,17337,79709
20188,56105,77273,62047
20189,11643,17338,55858
20190,50522,17338,203504
20191,204860,47420,33790
20192,39717,17339,36976
20193,58066,17340,61835
20194,69578,17340,46520
20195,66644,67808,61890
20196,32442,17341,41315
20197,70443,21263,204646
20198,50553,51047,12118
20199,30284,20357,33426
20200,51549,67555,74518
20201,26524,49183,33877
20202,204753,17353,59156
20203,61148,36267,69382
20204,202420,16897,57428
20205,4079,59450,76196
20206,39911,35741,47574
20207,66003,56732,80264
20208,38663,65395,56873
20209,12244,17360,63344
20210,43716,72798,51145
20211,28728,66918,39221
20212,200916,9689,41879
20213,40703,65554,204779
20214,40895,74544,70456
20215,61891,63375,203419
20216,34748,36678,61177
20217,1516,17370,3120
20218,2628,17370,55042
20219,56171,73841,202825
20220,45018,17371,201475
20221,41918,17377,200806
20222,69151,39787,34334
20223,204682,67043,201572
20224,62822,55930,60038
20225,4890,43625,41925
20226,38671,47314,203305
20227,40614,82673,35787
20228,44563,30092,49537
20229,205276,70401,58442
20230,34199,45538,68602
20231,48527,45035,74632
20232,49485,17392,34836
20233,39619,17393,74478
20234,69810,74537,40165
20235,41551,203393,68936
20236,76026,200801,205250
20237,203841,67228,991
20238,2257,56559,201074
20239,23069,2799,41596
20240,10695,17415,25975
20241,2940,17428,76568
20242,18828,204546,11362
20243,35926,1104,54266
20244,46619,47406,3738
20245,25641,49466,34704
20246,11055,17436,43560
20247,68074,36974,204412
20248,69642,200559,40804
20249,38857,36641,69987
20250,61587,17452,204511
20251,16324,55790,8084
20252,51603,16394,38167
20253,2572,17458,67528
20254,50361,201393,200692
20255,25860,54536,40814
20256,66018,202788,8382
20257,6470,17460,46622
20258,11602,17460,66448
20259,3469,51644,48779
20260,16902,41963,5208
20261,41566,73868,63109
20262,8665,17487,20962
20263,891,75077,51590
20264,60398,70244,61912
20265,55675,17501,70162
20266,4148,204071,9920
20267,201706,69913,200749
20268,199859,17519,35885
20269,4173,11245,61822
20270,77592,199712,203226
20271,44368,69406,40123
20272,46289,201787,40415
20273,9407,17522,56297
20274,57338,61342,57407
20275,202628,4042,12370
20276,66348,38127,7451
20277,73651,17525,51623
20278,200561,17525,33262
20279,3267,199770,70458
20280,41948,25921,19388
20281,46331,17535,198941
20282,2763,17535,23210
20283,40085,17549,38262
20284,33032,55395,67517
20285,44620,55440,79513
20286,7405,9255,48335
20287,9551,17568,12332
20288,51659,201716,42097
20289,44304,57314,54190
20290,63223,62758,34106
20291,32872,62551,44677
20292,67233,34821,6189
20293,51456,17583,76071
20294,203032,7175,52241
20295,203059,1333,51368
20296,70725,200238,137338
20297,55625,199533,51418
20298,8346,17593,6227
20299,81200,17595,77745
20300,32994,25875,46773
20301,38047,17597,39342
20302,73895,70672,32400
20303,61164,17598,54529
20304,21437,17718,198928
20305,24953,17599,9734
20306,44983,200416,42030
20307,4599,17601,10414
20308,56099,1819,2881
20309,744,59612,6773
20310,58055,51771,1335
20311,47797,40582,40268
20312,48921,17604,9503
20313,23612,47169,43529
20314,204696,17605,203760
20315,39919,39934,20506
20316,45633,33961,73938
20317,40046,201217,75622
20318,45165,44126,27262
20319,80020,46679,38857
20320,28704,17622,33421
20321,277,47528,47443
20322,43392,70296,201911
20323,2009,70142,62866
20324,36475,59218,61094
20325,32193,61305,48879
20326,7095,39780,51626
20327,60491,17639,33808
20328,1084,34987,47717
20329,205044,47138,69534
20330,24282,63149,45705
20331,45453,30652,10418
20332,45239,61058,69186
20333,10373,47566,82782
20334,11220,201141,50627
20335,79704,50863,32398
20336,75625,17656,56388
20337,57091,17669,44598
20338,62875,61603,2798
20339,62421,17672,59119
20340,200914,66737,48481
20341,38452,17682,44228
20342,4620,204087,7261
20343,201756,17689,199622
20344,48448,17689,56023
20345,20209,55121,11272
20346,58178,17695,76557
20347,41463,48244,11126
20348,1956,47799,74141
20349,48811,55087,36949
20350,1778,27098,49068
20351,41675,17708,43487
20352,59246,45738,43768
20353,19317,17711,70678
20354,65383,200217,846
20355,57270,17716,16634
20356,202122,69638,39180
20357,51886,30757,10360
20358,205079,6341,68239
20359,76635,201662,63367
20360,38701,17720,16630
20361,10587,9172,47874
20362,54526,5084,5185
20363,7244,60300,41223
20364,9638,200308,60587
20365,30367,10937,33203
20366,60124,17741,39548
20367,9013,17757,200795
20368,30835,17757,50890
20369,7551,17760,202617
20370,200050,17760,51109
20371,204131,56384,56298
20372,18871,36508,201634
20373,12149,6528,44699
20374,11630,56629,43636
20375,3658,17774,30205
20376,48938,47707,59636
20377,55501,17794,66958
20378,29298,17794,26399
20379,10806,1485,201789
20380,60799,41285,58993
20381,4908,10684,56253
20382,199289,50831,40132
20383,48523,202258,35685
20384,18305,48044,43935
20385,224,202724,199006
20386,29835,47318,3143
20387,43615,17847,35566
20388,34762,56632,57085
20389,5086,36855,12390
20390,32742,67573,77040
20391,57522,17858,41244
20392,35573,80879,200219
20393,59072,200475,59852
20394,51982,6882,38606
20395,25382,17868,2520
20396,3967,17868,61852
20397,47194,34544,45136
20398,3242,17871,39881
20399,45700,17875,78378
20400,35902,47982,50569
20401,12341,58027,48917
20402,2191,36892,38419
20403,70057,46146,58246
20404,8659,17879,47703
20405,36042,17898,12422
20406,55192,17898,68391
20407,60650,4512,7211
20408,73166,20062,62936
20409,70663,17949,45736
20410,203574,56337,48014
20411,43717,17955,60823
20412,10157,17955,16723
20413,18042,62665,43654
20414,40615,67404,47128
20415,17081,8227,41282
20416,4600,43667,41110
20417,39216,34655,58025
20418,16411,41086,33800
20419,200076,56774,50410
20420,5446,18011,204463
20421,33424,51181,50628
20422,67576,18014,10447
20423,20317,8761,66529
20424,184,18016,40296
20425,201748,204512,46501
20426,49656,40543,1745
20427,49167,80500,3881
20428,6847,18020,202044
20429,47731,18022,25878
20430,48111,45681,30116
20431,11253,1099,60016
20432,51808,68903,40171
20433,49454,18025,198780
20434,2372,55178,203962
20435,32263,10729,73598
20436,1057,18032,1354
20437,201749,199045,8153
20438,55768,59610,59902
20439,57304,30604,58023
20440,49574,79614,62250
20441,16612,10442,39477
20442,56662,18043,202849
20443,48898,81289,35790
20444,201035,74793,16693
20445,204899,65910,47125
20446,201067,18049,1713
20447,2851,49091,40716
20448,47176,67719,39303
20449,43860,2044,3287
20450,23969,18052,34806
20451,81139,18053,201054
20452,200555,202695,41301
20453,40926,26606,204900
20454,46475,36527,47724
20455,55181,54569,4282
20456,4571,18102,69081
20457,203054,3274,58054
20458,33801,36583,62781
20459,45911,70893,44039
20460,66256,199268,2654
20461,8513,200153,32051
20462,56805,62910,9877
20463,50878,204592,205101
20464,70846,201626,66882
20465,35097,18120,62657
20466,46506,5517,51163
20467,21267,20159,548
20468,205244,62218,11937
20469,62658,1320,65919
20470,58378,74932,201651
20471,18514,3562,70680
20472,45199,18123,47607
20473,16300,18124,199165
20474,12270,24687,1986
20475,6837,199063,204189
20476,46124,66509,198979
20477,10884,18128,43420
20478,39949,18128,6222
20479,68085,18129,20452
20480,6872,18129,35442
20481,49679,18130,59358
20482,78378,203127,74769
20483,55221,56783,202113
20484,70881,18131,68193
20485,45567,18133,61806
20486,39260,18133,200599
20487,39018,18138,6640
20488,68966,34220,7274
20489,51379,69109,39888
20490,36028,18140,203040
20491,40306,527,40299
20492,199778,18144,202000
20493,76238,18145,21153
20494,20062,33036,48288
20495,39800,18146,45145
20496,7247,8419,40918
20497,20231,200563,25744
20498,48633,18153,3973
20499,199991,55974,68710
20500,25844,18158,24889
20501,23629,47885,199334
20502,48278,5078,69699
20503,46151,43675,199059
20504,61517,10701,67662
20505,48734,36069,42124
20506,62361,79380,202011
20507,17061,18178,59476
20508,4147,18178,45594
20509,3879,68094,11755
20510,201414,40797,35819
20511,4096,32634,62732
20512,34487,61608,39454
20513,51594,50447,10527
20514,44585,18191,44628
20515,204443,202111,36227
20516,40159,18195,59111
20517,59822,38446,50561
20518,30625,18196,10472
20519,8235,51779,204538
20520,45201,23578,61356
20521,46616,18217,589
20522,201453,18217,10898
20523,51406,18218,137804
20524,9067,18218,200296
20525,38206,18229,65215
20526,52172,62411,29951
20527,2413,18232,8668
20528,47018,18232,47551
20529,11669,18233,46208
20530,51691,56947,36016
20531,77207,18234,20730
20532,6791,203399,35032
20533,49649,18235,9092
20534,43584,43682,50586
20535,68046,18236,67788
20536,32082,46179,60211
20537,200098,2758,70083
20538,48656,18237,34131
20539,57793,59691,38040
20540,202520,18238,47644
20541,46273,45225,51584
20542,67294,8229,51542
20543,1046,18240,3387
20544,65338,199439,36652
20545,43757,69500,6429
20546,39988,3410,70980
20547,3367,18244,4178
20548,1148,18244,60100
20549,203956,50159,61392
20550,70398,18245,17289
20551,67308,55283,204432
20552,26943,18246,79366
20553,47136,18247,55523
20554,34897,7000,40460
20555,1125,18249,48557
20556,44246,39187,46276
20557,204021,74794,36331
20558,48183,202317,46167
20559,4940,41572,9519
20560,56206,35971,204954
20561,39646,60889,54237
20562,77199,34806,47853
20563,65990,54534,201203
20564,44671,18349,66627
20565,202987,77750,71124
20566,30689,8491,49675
20567,204215,39615,203575
20568,36701,202564,50267
20569,51678,204322,47066
20570,70164,66885,58815
20571,45029,18276,199767
20572,40343,9757,45033
20573,63360,204966,50812
20574,49792,18279,36072
20575,36624,18289,32561
20576,36302,9508,39147
20577,60855,59249,82932
20578,200484,18290,41652
20579,35755,18297,23568
20580,61756,18297,8678
20581,70016,38209,45254
20582,46739,62528,74148
20583,40177,46849,63228
20584,201492,203946,45446
20585,4953,18306,36232
20586,57467,18306,35194
20587,33531,34016,203652
20588,69596,18308,75870
20589,49038,2095,67055
20590,253,18316,48374
20591,61229,43589,9885
20592,32062,18321,56795
20593,42080,18331,39970
20594,51988,18331,65684
20595,23215,3090,2821
20596,954,18339,19921
20597,204422,18268,62831
20598,32235,33587,59955
20599,2166,48553,30491
20600,41777,36049,16786
20601,18172,204889,201415
20602,65744,18359,45342
20603,38891,36258,69261
20604,10941,18361,47917
20605,60253,57682,45240
20606,50398,18388,70173
20607,32825,18389,3960
20608,56304,66796,203168
20609,34364,61029,45023
20610,32370,73948,55782
20611,44509,58635,71011
20612,44190,39174,3528
20613,34594,30370,204862
20614,74976,46570,62829
20615,51699,18396,57327
20616,11936,40388,201679
20617,3755,4955,54630
20618,1015,7438,43945
20619,39045,69448,38593
20620,2752,47937,21135
20621,33663,45577,200877
20622,10604,18409,48246
20623,32515,18414,203246
20624,60451,19799,24105
20625,204845,54365,55799
20626,47873,270,35957
20627,16821,6225,80295
20628,34455,18424,199749
20629,46203,79959,45851
20630,68431,18433,67008
20631,200418,50471,45048
20632,39823,18434,8927
20633,40903,36587,70718
20634,63038,18435,50759
20635,32874,18445,51778
20636,83041,18445,69517
20637,57073,60234,44345
20638,69737,203053,66670
20639,34832,200476,6048
20640,68090,18484,38251
20641,2269,18501,8875
20642,67137,62724,730
20643,73057,66290,3961
20644,201304,18514,32120
20645,36603,203928,4217
20646,38584,18518,202112
20647,70609,32565,43561
20648,63462,39935,10412
20649,68107,36306,48207
20650,201323,18531,27375
20651,5508,199852,58518
20652,492,2448,11130
20653,33471,645,32742
20654,68460,36594,50265
20655,10655,40557,11649
20656,5675,5137,1892
20657,10817,10804,34426
20658,204338,55823,10370
20659,12347,68963,4382
20660,55807,18553,60434
20661,74123,34974,10063
20662,59776,18574,9613
20663,62321,12234,27104
20664,62154,4405,48058
20665,35051,4197,35162
20666,3149,41477,203992
20667,40612,18619,70554
20668,42261,18619,8266
20669,3317,18620,40004
20670,2837,63012,202114
20671,40947,9921,54591
20672,58672,18640,70200
20673,56565,56120,19774
20674,7173,18645,12164
20675,11680,18646,68846
20676,9898,203070,204876
20677,45318,42151,68921
20678,51159,58789,3001
20679,2011,18671,4160
20680,68078,33139,67410
20681,11170,50562,199661
20682,45126,44394,200644
20683,34561,45687,71151
20684,9715,70463,27193
20685,46806,18711,3719
20686,204433,18711,32326
20687,199936,4880,3486
20688,201659,18714,60314
20689,36126,4041,3191
20690,40181,77149,66686
20691,57269,18720,33640
20692,67047,18720,2406
20693,61730,32812,67388
20694,33329,8466,45037
20695,51937,51938,49605
20696,40021,69462,200747
20697,76509,18790,50239
20698,41476,34133,41911
20699,7307,18740,32620
20700,50512,137805,32122
20701,32718,18751,75628
20702,6058,18751,63190
20703,43588,18762,204562
20704,8697,48999,201806
20705,56245,74510,9679
20706,70922,62495,41862
20707,1513,18766,29876
20708,11969,877,42134
20709,78256,43777,67497
20710,63515,8521,32530
20711,10395,203478,201671
20712,2805,17774,40546
20713,73038,73747,54603
20714,205289,200480,47822
20715,56135,65303,2772
20716,44874,59357,68184
20717,76221,10409,202217
20718,3498,18804,8127
20719,59133,48463,50656
20720,67785,17093,43703
20721,199258,18814,5447
20722,34587,49550,49960
20723,35273,33739,31945
20724,8391,18820,76534
20725,3917,1232,4626
20726,79652,18821,16416
20727,9504,45461,201736
20728,12363,47866,56005
20729,6970,18826,50745
20730,205140,70955,47393
20731,44158,667,49085
20732,35203,199051,47869
20733,6748,6801,5255
20734,199571,56666,56632
20735,55159,34789,68954
20736,48101,18834,277
20737,49891,18835,6536
20738,34226,76529,204245
20739,47069,18836,2849
20740,47540,11963,48072
20741,46057,18837,70358
20742,43508,199021,63006
20743,34982,18838,44677
20744,4593,48295,39210
20745,57397,198801,72679
20746,32258,20459,200990
20747,18445,204043,203830
20748,68856,68664,32916
20749,60795,18842,4269
20750,199877,5438,63218
20751,67791,34507,203471
20752,32639,63170,67305
20753,20250,36827,81486
20754,199137,18844,33844
20755,60397,56240,46924
20756,50624,33246,50079
20757,200360,18848,77919
20758,62930,57853,52039
20759,4124,54573,10783
20760,7478,27265,19667
20761,80118,18850,44326
20762,60329,203486,43345
20763,45406,62854,6266
20764,3819,26406,79053
20765,34593,203408,68657
20766,51102,18857,46554
20767,46658,18858,199692
20768,47100,18858,35610
20769,47180,18865,4576
20770,45246,18865,77596
20771,200841,18866,70030
20772,200247,588,34700
20773,74872,6948,38100
20774,44009,38057,29392
20775,57013,18871,56958
20776,81340,205151,204018
20777,59392,18873,1971
20778,65338,57958,48499
20779,62342,4212,33688
20780,43544,83039,201251
20781,48692,199144,57511
20782,10698,54164,38903
20783,36519,54528,39065
20784,32165,18885,1222
20785,49633,18895,38733
20786,50713,3944,33167
20787,34168,56673,35399
20788,11084,18896,17242
20789,45409,18897,203090
20790,58589,18897,50596
20791,62696,18898,198852
20792,39182,35061,40097
20793,46613,4322,40941
20794,11246,18899,56372
20795,1418,18902,971
20796,45168,38172,33209
20797,66742,18905,57829
20798,33568,200261,45586
20799,200006,59201,61020
20800,6193,63349,55183
20801,47359,203685,5392
20802,70582,44589,47375
20803,46362,40594,202605
20804,198946,202693,35427
20805,83046,42327,26860
20806,45633,28007,32097
20807,46503,18930,68094
20808,36484,66441,2836
20809,201745,61388,27902
20810,39868,198733,55054
20811,203132,18933,2902
20812,56907,18933,66536
20813,41625,2439,20387
20814,44657,18934,17415
20815,39866,63318,32357
20816,2765,54930,34530
20817,60273,11172,52025
20818,57122,50801,59893
20819,2970,18940,36644
20820,204571,69822,58536
20821,33692,204222,76066
20822,45451,198742,46557
20823,46506,79684,1907
20824,60184,199007,51771
20825,24828,18947,54982
20826,9430,49163,199887
20827,61035,32340,80865
20828,49876,55173,20757
20829,58524,18954,57642
20830,6535,54397,42294
20831,54800,18957,73058
20832,45133,18957,8768
20833,34608,18959,3845
20834,137777,19269,200489
20835,61618,18967,69482
20836,203114,18961,8630
20837,48718,19830,10248
20838,34144,51869,34985
20839,50260,18961,21371
20840,201652,60617,55281
20841,48428,55153,18042
20842,70606,18968,23922
20843,213,38213,57488
20844,20605,47075,46140
20845,36220,10116,3414
20846,38523,48691,52239
20847,50083,3737,39503
20848,34648,60956,17165
20849,9078,46923,198891
20850,32321,203463,200892
20851,58713,18986,45704
20852,201284,68656,46772
20853,59040,35030,56283
20854,34280,43338,41034
20855,8399,47292,69079
20856,70932,203179,34257
20857,48161,202997,68161
20858,16831,19004,3213
20859,9170,19007,34766
20860,57895,40990,8419
20861,32594,72630,9265
20862,199382,19010,61580
20863,16438,19014,67082
20864,5496,51047,9521
20865,50240,57785,57151
20866,5392,32781,40762
20867,25889,19019,6224
20868,11141,63363,204788
20869,54395,55966,204207
20870,600,200943,12231
20871,35290,43430,45158
20872,16577,65843,203473
20873,66047,19024,67149
20874,38161,202424,35322
20875,61535,39022,38619
20876,6800,8294,33884
20877,2600,6877,33359
20878,202204,49291,27540
20879,36591,59852,199382
20880,60859,32149,6134
20881,21338,19035,921
20882,69085,56032,45214
20883,369,68561,200831
20884,200481,66781,10580
20885,36360,41883,67586
20886,57643,75969,35097
20887,66078,19040,51973
20888,56442,24087,49974
20889,50904,19041,60355
20890,22882,19041,36080
20891,51609,47238,200639
20892,18902,56276,199044
20893,198724,199941,35274
20894,59038,576,202866
20895,70305,19046,56669
20896,34228,19172,199164
20897,12388,19048,77804
20898,58746,50325,66744
20899,34206,45192,70390
20900,33760,51688,59822
20901,59036,36865,199119
20902,3201,19055,68891
20903,48339,45421,9922
20904,10052,52094,59399
20905,72677,10092,203184
20906,202861,43588,78677
20907,49189,62561,200657
20908,36166,43561,1979
20909,204549,19063,40338
20910,57974,17250,39534
20911,40909,71217,39352
20912,72839,33490,201093
20913,203964,59969,1436
20914,199736,44470,67516
20915,56679,19073,204980
20916,40064,47659,34645
20917,38029,61354,65965
20918,68651,56027,67625
20919,51003,19114,203831
20920,51696,19114,9738
20921,70837,19121,200205
20922,77375,19121,199473
20923,51460,45945,32038
20924,201336,201344,52040
20925,1438,59881,32524
20926,33118,204107,59725
20927,50948,19132,49015
20928,60362,19132,33984
